"condition","product_choice","bi_women","price_fairness","similarity","cost_women","cost_men","age","income","mc_justification","feedback"
"2","2",-3,2.5,7,2,2,41,4000,"they both promised to clense, but one also reinvigorated, and the other one I don't remember",NA
"2","1",4,2.875,5,7,3,35,2500,"it is 13.99$ an support all hair type",NA
"2","3",0,2,5,3,2,44,6000,"Women's shampoo had a price of $14.99, while the men's shampoo had a price of $9.99.",NA
"2","1",2,1,3,10,8,36,5000,"women's shampoo $13.99 and men's shampoo $9.99",NA
"2","1",4,3.25,4,4,4,30,4000,"The women's product said it would cleanse and revitalize hair, while the men's said it would cleanse and do something slightly different.",NA
"2","2",0,2.5,6,3,3,37,250,"Both described themselves as being good (cleaning) all hair types.",NA
"2","3",1,3.375,6,3.99,3.99,40,2400,"The women's shampoo was made to sound like it was tailored for women's hair. The men's shampoo said it was good for all hair.",NA
"2","3",-2,2,6,2,2,22,1800,"For all hair types",NA
"2","1",3,3,4,3,2,55,7000,"One was for women and cost 14.99. The other was for men and cost 9.99.",NA
"2","1",2,1,6,8,6,30,65000,"Women's shampoo and men's shampoo",NA
"2","1",2,2.875,7,4,4,26,800,"The women's shampoo is supposed to cleanse and revitalize all hair types. The men's shampoo is supposed to cleanse and invigorate all hair types.",NA
"2","1",2,4.375,3,4,3,44,6000,"Thr shampoos were the same fluid ounces and tailored for all hair types but the women's version was $4 more",NA
"2","1",1,3,5,6.5,6.5,22,45000,"It washes ND revitalizes all types of hair",NA
"2","1",5,6.375,2,8,5,39,4,"Women’s shampoo.- The shampoo is specially formulated to cleanse and revitalize all hair types. 
Men's shampoo.- The shampoo has been designed to cleanse and invigorate all types of hair.



","I enjoyed the study."
"2","2",-4,5.5,6,6,6,28,6700,"The women's shampoo cost $13.99, and is made to cleanse all hair types. The men's shampoo has 25 fluid ounce, cost $9.99 and cleanses all types of hair.","The survey was clear. I did not experience any challenge."
"2","1",4,4,4,2,2,59,5000,"Women’s and men’s shampoo was described the same way women’s cost 13.99 and men’s 9.99",NA
"2","1",3,2.875,4,3,3,61,2500,"leaves hair clean and shiny, one was for women and one was for men",NA
"2","2",-2,1,7,5,5,71,7000,"Designed to cleanse and invigorate.",NA
"2","1",2,2.5,4,1,1,41,3000,"I just remember that one was a women's and one was a men's shampoo.",NA
"2","3",4,3.5,7,1,1,55,5500,"cleanse hair -- designed vs formulated","the COGS would also include cost of distributing which would include transportation"
"2","2",-3,1.875,7,4,4,37,20000,"The women's shampoo was around $13 and the men's was $9.99 for the same amount",NA
"2","1",4,6,2,2,2,52,6000,"Cleans hair",NA
"2","2",-1,2.125,7,5,5,30,20000,"The shampoos were formulated to cleanse and revitalize all hair types.","The study was awesome."
"2","3",0,1,7,2,2,51,70,"Both shampoos are designed for all hair types.",NA
"2","1",2,5.875,4,8,4,50,7200,"Women's shampoo $13- works fine for all hair types
Men's shampoo $9- works well for all hair types","N/A"
"2","1",3,3.875,4,5,3,28,5000,"Great for all hair types to cleanse and revitalize",NA
"2","3",3,2.25,3,6,4,39,4000,"Both are the same size, about 295ml, but women's shampoo is like $3 dollars higher",NA
"2","1",4,4.125,4,6,4,26,55005,"womens shampoo for $13.99",NA
"2","2",-4,1,7,0.75,0.75,63,900,"Women's shampoo was geared more to style and more expensive; men's was appealing to more masculine traits.",NA
"2","1",1,3.75,4,2,2,53,4500,"The women's shampoo cleans and revitalizes",NA
"2","2",-4,3.5,6,5,5,40,10000,"It's a shampoo, the women shampoo appeared more expensive than the men's own",NA
"2","1",3,5.5,5,2,2,58,2000,"The descriptions were the same, a clarifying shampoo.",NA
"2","3",0,2.25,6,0.59,0.59,48,7000,"It will clean and invigorate all hair types",NA
"2","1",4,5.125,5,1,1,57,1200,"the men's shampoo was called invigorating, I think, but the woman's shampoo had more words and sounded prettier.",NA
"2","3",1,2,4,2,2,51,3900,"Works with all hair types, cleans and invigorates.",NA
"2","1",3,5.5,5,5,4,49,3100,"Women's shampoo and men's shampoo was very similar and provide an invigorating clean.",NA
"2","1",4,5.875,4,3,2,30,4000,"The women's shampoo had a higher price than the men's. The men's was like 9.99 and the women's  I think was 14.99",NA
"2","3",1,2.125,6,2.25,2.25,76,4500,"Both shampoos stated they were acceptable for all types of hair.  One stated ""women's shampoo"" and the other stated ""men's shampoo"".  Men's shampoo cost was $9.99, women's shampoo cost was $13.99.  Bottles looked the same except for stating one was men's and one was for women.",NA
"2","1",5,4.5,2,5,1,55,4500,"shampoo 25 ounces... the women shampoo was 13.99 the men was 8.99 they both stated that they were for all her types.","I honestly feel like the Women's shampoo would have more useful ingredients than the men's shampoo."
"2","1",1,3.875,3,5,3,64,30000,"It was a 25 fluid ounce bottle of women and men shampoo with the same description. They both are formulated to clean and revitalize all hair types","Thank you for allowing me to participate in this study"
"2","1",5,4.375,2,2.99,0.99,36,4500,"one for women and one was for men",NA
"2","1",3,1,4,3,3,36,5000,"$13.99 all hair types","Thank you & much success in your future studies!"
"2","1",2,1,7,3,3,30,1,"It said the product was effective for all hair types / types of hair.",NA
"2","2",-6,1,7,2,2,59,1,"Women's shampoo design for all hair types
Men's shampoo design for all hair types","Thank you for the study and have a blessed day! :)"
"2","1",2,1.625,7,3.5,3.5,36,3800,"The size for both the men’s and women’s shampoo were the same. The product description was almost the same for both except one said “invigorate” and one said “revitalizing” if I remember correctly.","Thank you!"
"2","2",-6,2,7,2,2,67,5500,"The shampoos both were for any types of hair",NA
"2","2",-4,2.875,6,4,4,50,6000,"Both shampoos clean and invigorate different types of hair. Women's shampoo is $13.99 while men's shampoo is $9.99.",NA
"2","2",-1,5.125,7,5,3,34,4500,"women shampoos is a shampoo specifically formulated to cleanse and revitalize all hair types. Men's shampoo is designed to cleanse and invigorate all types of hair",NA
"2","2",-3,1.25,6,1,1,53,250,"Both were for all hair types and women’s was 4$ more than men’s",NA
"2","1",4,5.25,2,9,6,34,55000,"The shampoo is designed to cleanse and invigorate the hair","Thank you for consideration."
"2","1",6,5.25,1,7,4,55,25000,"men's shampoo and women's shampoo",NA
"2","2",-6,2.75,6,4,4,39,1000,"The men's shampoo treated all hair types just like the women's but it was 9.99 instead of 13.99",NA
"2","1",-2,7,7,6,3,22,2500,"The shampoo is designed to cleanse and revitalize all hair types.","Nice survey"
"2","3",0,1,6,2,2,33,7000,"Invigorating, cleansing",NA
"2","1",3,5.75,5,6,6,54,3000,"Cleans hair well but with a different price for women and men.",NA
"2","3",1,4.625,6,3,3,44,6000,"the mens shampoo was $10 and the womens was 14. they claimed to be formulated for men/women",NA
"2","2",-6,1.5,7,2.99,2.99,46,5000,"Womens shampoo higher than the mens men said good on all hair types","none"
"2","3",1,1,6,4,3,30,7000,"The both cleanse and revitalize the hair",NA
"2","2",-3,1,7,5,5,58,5000,"shampoo that cleans all types of hair womens is more expensive thats the only difference",NA
"2","1",6,7,3,9,7,26,4100,"Formulated to cleanse and revitalize all hair types.
Designed to cleanse and invigorate all hair types.",NA
"2","1",4,7,7,10,6,23,4150,"Women: Formulated to cleanse and revitalize all hair types
Men: Designed to cleanse and invigorate all types of hair",NA
"2","2",0,1,7,1,1,34,300,"Shampoo made to cleanse and revitalize all hair types","n/a"
"2","2",-3,5.75,4,2.5,2.5,42,16000,"Women’s shampoo is formulated to cleanse and revitalize all hair types. Men’s shampoo is designed to cleanse and invigorate all types of hair. Both are 25 fluid ounces, with similar functions but priced differently  $13.99 and $9.99.","N/A"
"2","1",5,3.75,6,1.99,1.99,35,200,"it was two women's shampoo one was revitalizing for $13.99 and Invigorating for $9.99","none"
"2","2",-4,2.375,7,3,3,39,2600,"For all Hair types",NA
"2","3",0,3,6,1,1,39,3000,"They both say they offer cleansing for all hair types.",NA
"2","1",3,1.75,7,5,5,38,4000,"Women's shampoo cleanses hair.
mens shampoo cleanses and revitalizes all hair types.",NA
"2","3",-1,1,6,2.5,2.5,33,1500,"overall clean for all hair types. womens 13.99, mens 9.99","the ""pink tax"" is real and its stupid"
"2","2",0,1,7,5,5,35,2000,"they both said essentially the same thing but the women's said it was specifically designed for the purpose of reinvigorating the hair","
"
"2","2",-2,4.625,4,5,5,47,20,"cleansing and revitalizing for all hair types","Thank you"
"2","1",1,4.625,4,1,0.75,33,6000,"One was more expensive which was the women shampoo.","none"
"2","1",4,6.375,4,4,3,21,7000,"i remember that the men's shampoo said it was for cleansing",NA
"2","2",-3,5.5,7,1,1,67,10000,"Both women's and  men's shampoos had 25 oz and the women's was $13.99 and the men's was $9.99.",NA
"2","1",1,1,3,3,3,28,6000,"cleans and invigorates all hair types",NA
"2","3",-2,1.625,7,5,5,67,1090,"They both cleanse and are good for all types of hair.","None. Thank you."
"2","3",4,2.375,5,1,1,56,100,"The women's shampoo for all hair types was $13.99 for 25 oz.
The men's shampoo for all hair types was $9.99 for 25 oz.",NA
"2","1",3,3.625,5,2,2,48,6000,"The women's shampoo was more expensive then the men's shampoo. The descriptions were the same for both products, but the ingredients were not listed. I'm a woman and naturally tend to gravitate toward shampoo marketed to women, even if it costs more. If the ingredients were listed and were the same, then I might consider the men's shampoo to save money.",NA
"2","1",6,5,3,2,2,36,59000,"both said that they clean and revitalize all hair types, but the women's shampoo was more expensive",NA
"2","2",1,4.25,7,10,5,45,50000,"the women's shampoo are more expensive than male shampoo",NA
"2","2",-2,2.5,6,5,5,34,8000,"It will cleanse and revitalize your hair.",NA
"2","1",2,3.5,5,3,2,47,2500,"Womens shampoo was 13.99 and mens shampoo was 9.99","None at this time"
"2","1",6,5.75,4,3,2.5,36,1500,"Mens was cleansing and invigorating. Women's was more nourishing?",NA
"2","3",0,2,6,5,5,20,1200,"I can't really remember the descriptions, I just remember that the women's costs 13.99 and the men's costs 9.99.",NA
"2","2",-2,1.875,5,3,3,37,150000,"They had the same amount of oz. One was for men and one for women. The woman's one was more expensive than the men's.","I'm unsure what the differences were for ingredients that make them gender specific."
"2","1",5,2.75,2,0.75,0.5,38,25000,"That it was suitable for all hair types, for the men's shampoo. I think the woman's said something about moisturizing??","Thank you for including me! ^_^"
"2","1",6,1,4,3,3,23,200,"Both products said they were suitable for all hair types but the women's one was $13.99 and the men's one was $9.99",NA
"2","3",0,4,7,2.65,2.65,61,3000,"Men's Shampoo/Women's shampoo Cleans and revitalizes.  $9.99/$13.99",NA
"2","3",1,4,5,5,5,62,4000,"womens was more expensive but seemed similar",NA
"2","1",2,3,6,3,2,35,3000,"The shampoo was specially formulated for use on all types of hair",NA
"2","2",-4,1,7,3,3,43,5500,"revitalize all hair types",NA
"2","1",4,1,3,6,6,20,1000,"the descriptions were the same, were for all hair types",NA
"2","2",-1,5,7,3,3,45,2500,"They were both 25oz but, of course, the women's shampoo cost more 13.99 vs 9.99. they were both designed for all hair types.",NA
"2","1",4,5.375,6,3.99,2,51,150000,"Shampoo specially made to cleanse and revitalize all types of hair.","No comments."
"2","1",6,5,7,5,5,40,6000,"Women's shampoo was 15.99 and men's was 9.99. Both said for all hair types",NA
"2","2",-3,4.75,4,5,5,49,8000,"
Women’s shampoo (25 Fluid Ounce): $13.99

Product Description: This shampoo is specially formulated to cleanse and revitalize all hair types. 
 

Men’s shampoo (25 Fluid Ounce): $9.99

Product Description: This shampoo has been designed to cleanse and invigorate all types of hair.",NA
"2","3",0,1,5,2,2,47,1400,"The shampoos both revitalize hair.",NA
"2","2",-2,4.125,6,8.99,8.99,26,400,"The shampoo was suitable for all hair types",NA
"2","1",2,4.125,4,10,7,31,6500,"women shampoo",NA
"2","1",0,2,5,3,3,48,5500,"Formulated for all hair types/needs (it was very generic for both men's and women's)","n/a"
"2","3",0,4,4,5,5,35,4000,"women's shampoo is more expensive than men's",NA
"2","2",0,1,7,3.5,3.5,62,10,"Women's shampoo was 25 oz and cost 14.99; while men's shampoo was also 25 oz and cost 9.99.",NA
"2","1",4,5.375,6,2,2,35,1600,"The womens shampoo revitalizes your hair and the mens shampoo invigorates your hair.",NA
"2","1",1,3.875,4,10,5,53,3000,"Both shampoos are for whichever hair type you have, but the difference is that one is for men the other for women",NA
"2","2",-3,3.625,6,2,2,73,1916,"for every day use formulated to revitalize hair (women's?)
for every day use formulated to invigorate hair (men's?)","I realize there might be some cost to produce differences in the shampoos."
"2","3",0,1,6,1.5,1.5,36,6400,"Men’s shampoo was $9.99 and invigorating. Women’s was $13.99 and revitalizing.",NA
"2","2",-2,2.625,7,5,5,57,10000,"I remember both products were the same size and both said they cleanse hair and revitalize or invigorate.",NA
"2","2",0,2.5,6,5.99,5.99,44,5000,"great for all types of hair",NA
"2","1",3,1.75,7,1.5,1.25,57,4500,"mens and womens shampoo both 25 oz mens was 9.99 womens was 14.99 or 13.99",NA
"2","2",-6,1,7,13,10,27,2500,"They both said they cleansed, and one said invigorate and the other said rejuvinate.",NA
"2","3",0,1,6,1,1,44,65000,"The women's shampoo and men's shampoo were for all hair types, but the shampoo for women cost a lot more.",NA
"2","1",2,2.125,3,5,5,35,84000,"the women's shampoo was higher, they seemed similar in other aspects",NA
"2","1",3,3.125,4,9,5,23,1000,"Both of the products were for all hair types.",NA
"2","2",-1,6,6,0.8,0.8,27,2200,"The women's' would cleanse and revitalize. The man cleanses and invigorates.","Na"
"2","2",-3,1.75,7,3,2,31,3300,"cleanse and invigorate",NA
"2","1",2,2.625,4,2.99,2.99,32,2048,"They had 2 shampoos, one for men and one for women. The men's shampoo price was $9.99 verse the women's $12.99. However each were being used for the same reason and for all hair styles.",NA
"2","3",6,2,6,2,2,53,7000,"Women's 13.99, Men's 9.99",NA
"2","1",4,2.75,3,5,3,46,55000,"Both said they were formulated to invigorate all hair types",NA
"2","2",-6,1,7,4,4,56,300,"I don't remember the descriptions other than they were general shampoo descriptions.  The main thing I remember is that the prices greatly differed for the same size bottle of similar product.",NA
"2","2",2,2.125,6,3,3,63,7000,"All purpose shampoo that both cleansed and revitalized hair",NA
"2","3",3,5.5,6,2.99,1.99,60,3500,"designed for women's hair to add texture at $13.99","Lol, this discrepancy in male and female product prices has existed for as long as I've been alive. Thank you!"
"2","1",2,3.5,6,4,3,35,5000,"The women's shampoo was 13.99, the men's shampoo was 9.99",NA
"2","1",4,2.75,2,1,1,52,12500,"designed to clean and invigorate hair, $13.99",NA
"2","3",1,2.375,7,1,1,23,400,"cleanse and revitalize hair",NA
"2","1",3,4.625,3,5,4,30,5000,"The women's and men's shampoos were described in a similar way -- that they both clean and cleanse hair, without too many specifics on ingredients or anything else. For the same size, the women's shampoo was $13.99 and the men's was $9.99.",NA
"2","1",4,3.375,5,5,3,23,5000,"The women’s shampoo is formulated and revitalizes the hair. The men’s shampoo cleanses all hair types.",NA
"2","1",1,4.75,4,8,6.5,39,5000,"Women's shampoo contains special formula",NA
"2","3",2,1.875,4,1,1,55,70000,"both the women's and the men's shampoos were described in the same way, with the same features. however, the women's shampoo was priced about 4 dollars higher.","I think I accidentally put in my annual income on the last question, as opposed to monthly. I'm used to thinking of my income as annual."
"2","2",-2,2.25,6,9.99,9.99,73,3500,"Women's shampoo said cleanse and revitalize. The men's said cleanse and invigorate.",NA
"2","2",-6,1,6,3,3,49,3200,"Smooth for all hair types","It does not make sense that men's products should be cheaper than women's. I guess it is because men want the basics while women are looking for miracle cures and are willing to pay for them (I am not one of them)"
"2","1",3,5,2,6,5,41,4000,"There were two bottles of shampoo offered, women's shampoo and men's shampoo. Each product was 25 ounces. The women's shampoo was $13.99 and the men's shampoo was $9.99. Both shampoos were advertised as able to clean all hair types.","n/a"
"2","2",-3,2.25,5,5.99,3.99,23,1600,"The woman’s shampoo was more specific about the hair cleansing process. The men’s shampoo said it would reinvigorate any hair.","Trust in JESUS!!"
"2","2",-2,2,7,3,3,77,2500,"They were exactly the same with the exception of the woman's shampoo was described as ??? and the men's shampoo as revitalizing. Sorry ... can't recall the exact word used for the woman's shampoo but it was just another word meaning the same thing as revitalizing.","At my age it is VERY easy to forget some little detail in something I read ... even moments before. Unless I know remembering it will be tested later, which I didn't."
"2","1",4,4,4,1,1,55,7000,"Made for all hair types. They clean and revitalize and invigorate",NA
"2","3",2,2.5,6,3,3,31,4100,"womens was cleanser and revitalize, mens cleanse and invigorate",NA
"2","3",2,1,7,2,2,61,3500,"women's shampoo, clean and revitalize 25 oz 13.99
men's shampoo, clean and invigorate 25 oz 9.99",NA
"2","1",1,2,7,4,3,64,25000,"revitalize, strength",NA
"2","3",0,5.625,5,5,3,46,1117,"The shampoos were for all hair types",NA
"2","1",3,3.25,2,2,2,53,5000,"The women's and mens were both pretty generic in that they cleanse your hair fully, something like that. I was looking for moisturizing or repair but neither were.","all good, thanks!"
"2","2",-2,1,7,5,5,29,8000,"Cleans and invigorate all types of hair",NA
"2","2",-4,1,7,9.99,9.99,65,1300,"clean and revitalize hair",NA
"2","1",4,5.5,2,5,5,41,15000,"Both of the shampoos said they were for all hair types, but one was listed as a woman's shampoo and one a men's shampoo and they had different prices",NA
"2","2",-1,1,1,4,4,56,800,"Both bottles were 25 oz. each, one talked about revitalizing hair and the other was for any type of hair. The women's was priced $13.99 while the men's was priced $99.99.","I have noticed that in the stores that actually seems to be something that is really going on, price gouging and then charging higher for women's stuff than mens. I go to the mens section to buy more clothes than in the women's because it's cheaper and better quality of clothes in the mens section. When will these companies quit gaining so much profit off of the people's backs and help out the people by lowering prices for now? The lesser the prices, the more people buy, it's stupid to keep going up in prices, especially if you have a huge profit margin already, give back sometimes. We are the ones that helped them rich in the first place!"
"2","1",0,1.625,4,2,2,31,5000,"The woman’s shampoo was I believe 13.99 and the men’s was 9.99.",NA
"2","2",3,3.625,7,3.99,3.99,43,2000,"Both shampoos were described as products that would cleanse and invigorate (or something of that likeness) all types of hair.",NA
"2","2",-1,3.875,4,3,3,59,22000,"Both products were advertised to clean all types of hair. The womens shampoo cost 4 dollars more than the mens. Both had 25oz. So same amount doing the same job. They just charged more for womens.","None. Good luck with your study"
"2","3",2,1.875,6,2,2,35,500,"Cleansing and invigorating for all hair types.",NA
"2","2",-2,6.25,7,2.99,2.99,54,5000,"Women's and men's shampoos, womens cost was 13.99,  men's was 9.99, sounds like they did the same things, I forget exactly what it said: maybe healthier hair,",NA
"2","3",0,1.75,7,1.5,1.5,44,3500,"women's shampoo - designed for all hair types, 25 oz, $13.99
men's shampoo - designed for all hair types, don't remember size, $8.99",NA
"2","1",2,6.125,5,8,6,53,7000,"women's shampoo for growth of skin","good study"
"2","3",0,2,5,5,2,61,3500,"I do not remember description well enough to put into words.",NA
"2","3",0,1.75,2,3,3,35,5000,"the only difference was the word ""invigorating"" instead of ""revitalizing""","no"
"2","3",2,2,6,2,2,63,70000,"Women's shampoo was three bucks more than the men's just because it said women's. It provided the same benefits as the men's shampoo.",NA
"2","1",6,6.875,4,3,1,33,5000,"I believe the womens was more so cleansing. I think its was 13.99 and the mens was 9.99 per so many oz. The size was the same for both options.","none thank you"
"2","2",-3,3.5,6,5,5,33,1000,"They both offered the same description on what they would do, word for word. The women's was a couple dollars more.",NA
"2","1",0,3,5,2.5,2.5,37,5000,"clean and revitalize hair--for all hair types",NA
"2","2",-6,1,7,6,6,28,850,"This shampoo is designed to cleanse and revitalize/invigorate all types of hair.",NA
"2","1",3,3,5,10,10,27,200,"Both the women's shampoo and the men's shampoo are formulated for all types of hair, and both are 25 fl oz, but the women's shampoo is more expensive than the men's shampoo, even though they're the same size and do the same thing.","N/A"
"2","2",-3,2,7,2,2,66,2700,"women's shampoos for all types of hair 13.99, men's shampoos for all types of hair 9.99",NA
"2","3",0,1.875,6,2,2,72,730,"formulated to cleanse and invigorate the hair","Thank you."
"2","2",-5,2,6,2,2,27,8000,"Both revitorized all hair types. the mens was 9.99 and them womens was 13",NA
"2","1",2,2,6,4,4,36,3500,"Both were listed to cleanse all hair types",NA
"2","1",3,2.75,5,7,5,36,6000,"Women's shampoo was $13 and Men's shampoo was $10. Both were 25 fl oz and formulated for all hair types.",NA
"2","1",3,5.75,5,2,2,50,1000,"Men’s and women’s shampoo having slightly different cleaning characteristics and having different prices",NA
"2","2",-1,1,7,5,5,32,4000,"Both products claimed to invigorate/revitalize and cleanse all types of hair.",NA
"2","1",2,5.75,4,6,4,28,3000,"Both the shampoo were for clense","The survey was amazing."
"2","1",4,5.125,3,5,3,46,3000,"The woman's shampoo is more expensive as compared to the men's one. The shampoo revitalizes and cleanses all hair types.",NA
"2","2",-1,5.5,7,10,8,43,4500,"the products were for all type of hairs","no comment"
"2","2",-1,2.875,5,6,5,32,4000,"Both are used to cleanse all hair types with women's shampoo specially formulated to revitalize all hair types, and Men's shampoo designed to invigorate all kinds of hair.",NA
"2","2",-2,4.5,5,8,8,43,5000,"The product is designed to cleanse and for all hair types.",NA
"2","2",1,5.75,7,10,6,51,45000,"There was a woman and a man shampoo. Both of them had the same characteristics but different prices. The women's shampoo was a bit expensive than the men's shampoo.","The study was great."
"2","1",4,5.75,5,10,5,43,4500,"women  shampoo costing 13.99 that is very healthy to the hair and sculp
men shampoo costing 9.99",NA
"2","2",-4,2.375,6,4,4,34,750,"The shampoo is manufactured as the shampoo of the women and helps in the cleansing and refreshing of all kinds of hair. The shampoo is made to clean and revitalize all sorts of hair in men. They both have 25 fluid ounces",NA
"2","2",-1,7,7,4,3,42,9000,"Men shapoo is good to invigrate any type of hair",NA
"2","2",-3,1,7,2,2,48,4500,"the womens shampoo was $13.99 and the men's was 9.99 and they had the same description",NA
"2","1",5,1,7,2,2,72,15000,"it washes hair well and revitalizes hair, it is $13.99","no feedback"
"2","1",4,4.75,5,9,7,27,7000,"the shampoo was formulated to cleanse all hair types",NA
"2","2",2,6.25,4,2.5,2,20,4100,"All hair types can be cleansed and revitalized with this specially formulated women's shampoo. Men's shampoo:  Made to revitalize and cleanse all hair types.
","It was good taking part in this study"
"2","3",0,5.5,5,8,4,34,65000,"The women's shampoo was $13.99 and the mens was $8.99",NA
"2","1",3,5.875,3,4,3,42,10500,"The women's shampoo was more expensive than the men's shampoo.","No feedback"
"2","1",4,5.125,5,5,5,48,6000,"Womens cleanses and something else 13.99 Mens cleanses and invigorages 8.99",NA
"2","2",-4,5.5,7,2,2,27,1300,"They both cleansed the hair and reinvigorated and revitalized the hair as well.","None but thank you"
"2","1",4,3,6,5,5,30,100,"The women's shampoo was around $13.00 and the men's shampoo was around $9.00, but both shampoos washed hair similarly.",NA
"2","3",0,1,7,2,2,44,500,"This product will cleanse and invigorate all hair types.","Thank you!"
"2","2",-3,2,7,4.99,2.99,34,3500,"Women’s shampoo: 13.99  25 fluid ounces used for all hair types to invigorate and cleanse the hair 
Men’s shampoo: 9.99 25 fluid ounces for all hair types to invigorate and cleanse the hair",NA
"2","2",-3,2.5,7,2,2,65,900,"Shampoo that cleans and leaves it feeling good",NA
"2","1",3,5,6,2.5,2.5,66,250000,"The shampoo cleaned and vitalized the hair",NA
"2","2",-3,1,7,5,5,21,1000,"both said they were good for all hair types",NA
"2","1",1,3.25,5,2,2,46,9000,"I don't remember",NA
"3A","1",4,1,6,1,1,64,6500,"Formulated to enhance all types of hair. The women's shampoo featured an artistically-designed package.",NA
"3A","3",-2,5.5,6,2,2,35,55000,"Both were designed for all hair types. The men’s shampoo described invigorating the hair. The women’s shampoo had more thoughtfully designed packaging",NA
"3A","2",-2,1.25,7,1,1,38,2800,"They both cleansed and either revitalized or invigorated hair. The women's had artistic packaging and the men's did not.","I usually buy children's sensitive 3 in 1 for 5 dollars and I have great hair and skin. Women's products are not worth the price."
"3A","2",-3,1,6,2.5,2,34,5000,"These products are designed to cleanse and invigorate all hair types.",NA
"3A","2",-3,2.5,6,1.4,1,65,3000,"25 ounce shampoo, designer for women, revitalizes hair on both","None"
"3A","2",0,2,7,2,2,41,6800,"The men's said it was revitalizing or invigorating? The women's one said the other. Besides that, both products were identical. One was $9.99 (the men's) and the other was $13.99 (women's)",NA
"3A","1",4,5.625,5,5,5,65,25000,"The shampoo is able to cleanse and revitalize all hair types. The women's shampoo was inspired by high-fashion designer trends.","N/A"
"3A","1",3,2,6,6,6,24,42000,"They both offered revitalizing ingredients for your hair -- with the exact same wording",NA
"3A","2",-2,2,6,4,4,48,1200,"the women shampoo was revitalizing and cleasing and had packaging made by artists, the men shampoo was good for all types of hair",NA
"3A","2",-1,3,7,5,5,49,5000,"The women’s shampoo has an artistic designed bottle.  The men’s shampoo is simple.",NA
"3A","3",0,2,4,3,3,61,5000,"Both the men's and women's shampoos held 25 oz and the women's with the 'limited' edition artwork on it was twice the cost of the men's.  Shampoo bottles are a consumable product in a disposable container.",NA
"3A","2",-6,1,6,5,5,47,2400,"for cleansing and conditioning hair",NA
"3A","2",-2,1.625,6,5,3,33,42000,"Shampoo formulated for all hair types meant to revitalize (for the women) or invigorate (for the men) hair.","None"
"3A","2",-4,2.75,6,3,2,33,6000,"Women's-designer-inspired limited edition
men's—simple design",NA
"3A","2",-4,2.125,7,3,3,69,5200,"It will invigorate and clean all hair types",NA
"3A","2",-1,5.75,6,3,2.5,36,6166.67,"1. Women Shampoo (25 fluid ounce):
This shampoo has been uniquely developed against the cleanup as well as revitalization of all types of hair.
You have also been informed that it is inspired by high-fashion designer features and has limited-edition packaging that were designed by well-known artists.
2. Men’s Shampoo (25 Fluid Oz.)
The shampoo will also clean and invigorate any form of hair.",NA
"3A","2",-5,1,6,4,4,48,2000,"The package of the woman shampoo was designed by a famous artist",NA
"3A","2",-4,2.5,6,5,5,53,10000,"men and women shampoo",NA
"3A","2",-6,1,7,3,3,58,3250,"cleanse and revitalize-women's and the men's was clean and invigorate","none"
"3A","1",2,3.875,6,7,4,27,49000,"Both shampoo almost same price but women was higher",NA
"3A","2",-3,1,4,3,2,45,20000,"The women's shampoo was 25oz, and was for all hair types, and revitalized hair. The men's was 25oz, for all hair types, and reinvigorated hair.",NA
"3A","2",-4,1,6,4,4,24,700,"The women and men's shampoo were both the same size bottle. However, the packaging for the women's shampoo was limited edition. The box had lots of artistic designs, but the box for the men's shampoo was plain and basic.",NA
"3A","1",6,5.625,6,7.99,5.99,64,4700,"The women's shampoo was made for all hair types and helps to revitalize hair. The men's shampoo is made for all hair types and helps to invigorate hair. The women's shampoo has artistic designs on the bottle, the men's shampoo does not.",NA
"3A","1",5,3.125,1,1,1,31,5000,"womens shampoo  $13 has designing on the packaging mens shampoo much cheaper does not have designing on it",NA
"3A","2",1,3,7,3,3,27,2800,"The women’s had packaging that was designed by someone with artistic skills verses the men’s which had no special design packaging.",NA
"3A","2",-6,1,6,5,4,52,2000,"Both are formulated for all hair types. The women has artwork.",NA
"3A","1",1,2.625,4,0.5,0.5,43,6500,"The women’s product was to revitalize your hair where the men’s product was meant to invigorate your hair.","Nothing that I can think of."
"3A","3",3,2.5,6,1,1,43,2200,"Both were formulated for all hair types",NA
"3A","3",0,1.5,5,1,1,43,2500,"One retivalizes.",NA
"3A","3",-1,3.625,6,2.2,2,41,3000,"They are both 25 ounces and formulated for all hair types. The women's one was more expensive and featured packaging by artists.",NA
"3A","1",3,7,4,10,6,29,5000,"women shampoo for cleansing and revitalising",NA
"3A","1",2,3,2,6,3,57,45000,"Both the mens and womens were the same size of 25 ounces. The womens was 13.99 and the mens was 9.99.",NA
"3A","2",4,6,7,3,3,66,50000,"they both make hair strong and healthy",NA
"3A","1",1,3.125,4,3.99,2.99,34,5200,"It said that the women's one was specialized for that type of hair.",NA
"3A","2",-2,5.5,5,2,1.25,30,800,"That the womens shampoo was able to revitalize the hair. The mens shampoo said that it was safe to use with all types of hair.",NA
"3A","1",4,4.75,5,6,3,36,12000,"The women’s shampoo (25 oz) costs $13.99 and has special designer packaging. It’s made to cleanse and revitalize all hair types. The men’s shampoo (25 oz) costs $9.99 and cleanses all hair types but has simple packaging.","The survey was clear and easy to follow."
